Item No.,Item Description
X14X120M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 120, CL 10.9"
X16X1.50X60M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 60, CL 10.9"
X16X130M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 130, CL 10.9"
X20X110M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 110, CL 10.9"
X20X120M10.9,METRIC CAP SCREW GRADE 10.9 ZINC M20-2.5 X 120
X20X2.5X320M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 320, CL 10.9"
X24X120M10.9,METRIC CAPSCREW GRADE 10.9 M24-2.0 X 120 HCS
X24X70M10.9,"HEX CAP SCREW BOLT METRIC ZINC M24-3.0 X 70, CL 10.9"
X24X90M10.9,METRIC CAPSCREW GRADE 10.9 M24-3.0 X 90 HCS ZINC
X8X1.0X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M8-1.0 X 35, CL 10.9"
X8X1.0X50M10.9,"HEX CAP SCREW BOLT METRIC ZINC M8-1.0 X 50, CL 10.9"
X12X1.25X30M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.25 X 30, CL 10.9"
X8X1.0X25M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M8-1.0 X 25, CL 10.9"
X10X1.25X20M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 20, CL 10.9"
X14X110M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 110, CL 10.9"
X12X75M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.75 X 75, CL 10.9"
X16X30M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 30, CL 10.9"
X18X50M10.9,"HEX CAP SCREW BOLT METRIC ZINC M18-2.50 X 50, CL 10.9"
X6X55M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 55, CL 10.9"
X6X60M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 60, CL 10.9"
X10X1.25X30M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 30, CL 10.9"
X18X80M10.9,METRIC CAPSCREW GRADE 10.9 ZN M18-2.5 X 80 HCS
X18X30M10.9,"HEX CAP SCREW BOLT METRIC ZINC M18-2.50 X 30, CL 10.9"
X10X1.0X25M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.0 X 25, CL 10.9"
X10X1.0X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.0 X 35, CL 10.9"
X10X1.25X100M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M10-1.25 X 100, CL 10.9"
X10X1.25X120M10.9,METRIC CAP SCREW GRADE 10.9 M10-1.25 X 120 HCS PLAIN
X10X1.25X50M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 50, CL 10.9"
X10X1.25X65M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 65, CL 10.9"
X10X1.25X70M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 70, CL 10.9"
X10X1.25X80M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M10-1.25 X 80, CL 10.9"
X10X1.25X90M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 90, CL 10.9"
X10X110M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 110, CL 10.9"
X10X140M10.9,METRIC CAP SCREW CLASS 10.9 M10-1.50 X 140 ZINC
X12X1.25X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.25 X 35, CL 10.9"
X12X1.25X40M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M12-1.25 X 40, CL 10.9"
X12X1.25X50M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.25 X 50, CL 10.9"
X12X1.5X25M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 25, CL 10.9"
X12X1.5X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 35, CL 10.9"
X12X1.5X45M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 45, CL 10.9"
X14X1.5X25M10.9,METRIC CAPSCREW GRADE 10.9 M14-1.5X25 HCS ZINC
X14X1.5X30M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-1.50 X 30, CL 10.9"
X14X1.5X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-1.50 X 35, CL 10.9"
X14X1.5X50M10.9,HEX CAP SCREW BOLT METRIC M14-1.50 X 50 GR 10.9
X16X1.5X35M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 35, CL 10.9"
X16X1.5X60M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 60, CL 10.9"
X16X1.5X90M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 90, CL 10.9"
X16X120M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 120, CL 10.9"
X16X140M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M16-2.0 X 140, CL 10.9"
X16X150M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-2.0 X 150, CL 10.9"
X18X100M10.9,HEX CAP SCREW BOLT METRIC M18-1.50 X 100 GR 10.9
X20X150M10.9,M20 X 2.5 X 150 M20X150 HCS PLAIN
X20X55M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 55, CL 10.9"
X20X60M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 60, CL 10.9"
X20X65M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 65, CL 10.9"
X20X90M10.9,"HEX CAP SCREW BOLT METRIC ZINC M20-2.50 X 90, CL 10.9"
X22X90M10.9,METRIC CAP SCREW GRADE 10.9 PLAIN M22-2.5 X 90
